기관명,대수,회기,의안번호,의안명,의안종류,발의일,발의자,발의자구분,공동발의여부,대표발의의원,공동발의의원,소관위원회,위원회상정일,위원회의결일,위원회처리결과,본회의상정일,본회의의결일,본회의처리결과,본회의회의록URL
남양주시의회,9,제295회,189,2023년도 공유재산관리계획 수시4차안 -다산역 환승주차장 건립-,기타,2023-06-08,시장,시장발의,,,,자치행정위원회,2023-06-13,2023-06-13,원안가결,2023-06-20,2023-06-20,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3311
남양주시의회,9,제295회,190,남양주시 남양주사랑상품권 발행 및 운영 조례 일부개정조례안,조례안,2023-06-02,시장,시장발의,,,,자치행정위원회,2023-06-13,2023-06-13,원안가결,2023-06-20,2023-06-20,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3311
남양주시의회,9,제295회,191,남양주시 사회복지사 등의 처우 및 지위 향상에 관한 조례 일부개정조례안,조례안,2023-06-02,시장,시장발의,,,,복지환경위원회,2023-06-13,2023-06-13,원안가결,2023-06-20,2023-06-20,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3311
남양주시의회,9,제295회,192,다산노인복지관 및 남양주시노인복지관 운영에 대한 민간위탁 동의안,동의안,2023-06-02,시장,시장발의,,,,복지환경위원회,2023-06-13,2023-06-13,원안가결,2023-06-20,2023-06-20,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3311
남양주시의회,9,제297회,193,남양주시 예술인 기회소득 지급 조례안,조례안,2023-06-02,시장,시장발의,,,,복지환경위원회,2023-09-11,2023-09-11,,,,,
남양주시의회,9,제295회,194,남양주시 혁신교육지구 운영 및 지원에 관한 조례 일부개정조례안,조례안,2023-06-02,시장,시장발의,,,,복지환경위원회,2023-06-13,2023-06-13,원안가결,2023-06-20,2023-06-20,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3311
남양주시의회,9,제295회,195,남양주시 청소년시설 설치 및 운영 조례 일부개정조례안,조례안,2023-06-02,시장,시장발의,,,,복지환경위원회,2023-06-13,2023-06-13,원안가결,2023-06-20,2023-06-20,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3311
남양주시의회,9,제295회,196,남양주시 캠핑장 관리 및 운영 조례 일부개정조례안,조례안,2023-06-02,시장,시장발의,,,,복지환경위원회,2023-06-13,2023-06-13,원안가결,2023-06-20,2023-06-20,수정가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3311
남양주시의회,9,제296회,197,남양주시 시민축구단 육성 및 지원에 관한 조례안,조례안,2023-06-02,시장,시장발의,,,,복지환경위원회,2023-07-14,2023-07-14,수정가결,2023-07-17,2023-07-17,수정가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3330
남양주시의회,9,제295회,198,남양주시 공공체육시설(배드민턴)사무 민간위탁(변경)동의안,동의안,2023-06-02,시장,시장발의,,,,복지환경위원회,2023-06-13,2023-06-13,원안가결,2023-06-20,2023-06-20,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3311
남양주시의회,9,제295회,199,남양주시 체육시설 운영 및 관리 조례 일부개정조례안,조례안,2023-06-02,시장,시장발의,,,,복지환경위원회,2023-06-13,2023-06-13,원안가결,2023-06-20,2023-06-20,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3311
남양주시의회,9,제295회,202,남양주시 로컬푸트 육성 및 지원에 관한 조례 일부개정조례안,조례안,2023-06-02,시장,시장발의,,,,도시교통위원회,2023-06-13,2023-06-13,원안가결,2023-06-20,2023-06-20,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3311
남양주시의회,9,제295회,203,경기 동북부권 공공의료원 남양주시 설립촉구 건의안,건의안,2023-06-16,운영위원회 부위원장(박경원) 전체의원,의회발의,Y,운영위원회 부위원장(박경원) 전체,김현택 이상기 김지훈(민) 김지훈(국) 김영실 조성대 이정애 박은경 박윤옥 이경숙 한근수 김동훈 정현미 한송연 이수련 김상수 이진환 원주영 손정자 전혜연,운영위원회,,,,2023-06-20,2023-06-20,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3311
남양주시의회,9,제296회,204,예산결산특별위원회 구성 및 위원 선임안,선임안,2023-07-10,의장,의회발의,,,,본회의,,,,2023-07-13,2023-07-13,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3325
남양주시의회,9,제296회,205,남양주시 갑질 행위 근절 및 피해자 지원 조례안,조례안,2023-07-05,이수련 김지훈(국) 박윤옥 이진환 손정자 박경원 한송연 김상수 이정애 정현미 김지훈(민) 전혜연 한근수,의회발의,Y,이수련,김지훈(국) 박윤옥 이진환 손정자 박경원 한송연 김상수 이정애 정현미 김지훈(민) 전혜연 한근수,자치행정위원회,2023-07-14,2023-07-14,원안가결,2023-07-17,2023-07-17,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3330
남양주시의회,9,제296회,206,남양주시 돌봄노동자 권리보장 및 처우개선에 관한 조례안,조례안,2023-07-05,박윤옥 김영실 이상기 손정자 이진환 이경숙 한송연 이수련 박경원 전혜연 김지훈(민) 이정애,의회발의,Y,박윤옥,김영실 이상기 손정자 이진환 이경숙 한송연 이수련 박경원 전혜연 김지훈(민) 이정애,복지환경위원회,2023-07-14,2023-07-14,원안가결,2023-07-17,2023-07-17,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3330
